"id";"id_usuario";"codigo_estudiante";"id_carrera";"celular";"direccion_domicilio";"created_at";"updated_at"
"541ff6c5-7444-4845-91c0-b981f6f4fbab";"948395ca-3a96-45f0-992a-34fbeaf7337a";"20267665S";20;"923647173";Continuación Sur Armendáriz 926 Interior 659 Vieja Sudán, NL 47712-3384;2026-02-19 14:22:59.121 -0500;
"324581c4-33ae-401b-bba3-04df5a40f1fa";"2e0d020d-7967-4b2b-b2e3-cc0634a8401a";"20211692I";20;"926937710";Andador Norte Rosado 507 587 San Citlali de la Montaña, NL 48835;2026-02-19 14:22:59.121 -0500;
"51b51af5-4ed8-4246-9bbe-bcc0ee44cf0e";"4353fc04-dd55-4ff6-b62a-6c4ecb41c91d";"20241790K";22;"916141688";Privada Yemen 074 Interior 941 Vieja Nueva Zelandia, HGO 90805-0359;2026-02-19 14:22:59.121 -0500;
b1632405-3a0d-45a5-af67-1d4a6b39c0ef;c1507f1b-f7f6-46b2-83f5-9e568c23fa89;"20220841N";20;"904884870";Prolongación Villa 682 Interior 428 San Perla los altos, ZAC 41140-8207;2026-02-19 14:22:59.121 -0500;
e2efa01f-8dac-4c78-b181-aa736b62bb3b;d13e5b3a-11ec-439f-8d25-f021b28cfc96;"20248867E";3;"931408552";Calle República Centroafricana 623 Interior 390 San Espartaco los bajos, COL 44223;2026-02-19 14:22:59.121 -0500;
"88775327-b03b-4449-adce-329e5f1185bc";c8bcb564-aa1b-4232-ac53-0eb036cfc14a;"20267874P";22;"947185736";Pasaje Norte Carbajal 560 Edif. 700 , Depto. 085 Nueva Indonesia, NL 00919;2026-02-19 14:22:59.121 -0500;
"7f6aa1f1-8bfd-42a1-b850-13a8cedd7961";"59ff7748-57ea-4596-a986-08515e99c100";"20219762X";2;"913615465";Callejón Coahuila de Zaragoza 874 Interior 176 San Violeta de la Montaña, YUC 31367;2026-02-19 14:22:59.121 -0500;
fcb4c0f7-9b34-4dbf-a6ec-e865205cb4a5;ba746773-d6e5-4d96-9f0b-1acaac92bdee;"20222397U";22;"934218598";Retorno de Anda 517 Edif. 578 , Depto. 751 Vieja Djibouti, TAMPS 29581-1180;2026-02-19 14:22:59.121 -0500;
bed5b811-5ed4-45fb-8f49-e5ea12b694bb;e6583bac-ace6-4f93-9ac8-41aa6901d290;"20253947V";2;"985342246";Calzada Jalisco 173 Edif. 950 , Depto. 258 San Santiago de la Montaña, MICH 09087;2026-02-19 14:22:59.121 -0500;
e807227e-00ec-49e6-a2d2-28680450a200;f23d2c5f-e43a-4703-bc05-da5773e3dd91;"20236611I";21;"914442434";Viaducto República de Macedonia del Norte 537 Interior 384 Vieja Congo, PUE 68921;2026-02-19 14:22:59.121 -0500;
"48f0c922-8846-4beb-aa83-afc6cac942a2";"330d0221-528b-4483-8e02-1cfad96efe0b";"20250123W";22;"919890781";Calzada Malasia 747 Edif. 194 , Depto. 363 Nueva Gambia, HGO 26008-1924;2026-02-19 14:22:59.121 -0500;
a48c4305-6c2d-42ea-9e7a-f0eb0e512a12;ad70fb04-fd27-43a4-a4b7-c51cdbd98579;"20259855Y";22;"978827770";Boulevard Sur Solís 105 Edif. 350 , Depto. 623 Nueva Lituania, MICH 49830-8841;2026-02-19 14:22:59.121 -0500;
bc738f3e-0c55-4875-834d-3f6236bb07ba;d2127126-62c9-4739-a5a2-5d426a8bec1b;"20224399E";20;"923278848";Periférico Lerma 017 Interior 602 Vieja Afganistán, COAH 22063-4464;2026-02-19 14:22:59.121 -0500;
fb770f26-f2e7-44fb-8a7c-269b822206ad;f1220a6a-97e3-4310-a5d4-0086e4273f8e;"20258107H";22;"930667476";Privada Guanajuato 137 Edif. 048 , Depto. 619 San Victoria de la Montaña, CAMP 66180-9528;2026-02-19 14:22:59.121 -0500;
"5bd91f64-03ad-4fc2-9f00-b50b8b5184a3";"23d3d3e6-f9ac-4e12-9adb-de33192239af";"20269304A";20;"994815236";Boulevard República de Macedonia del Norte 009 169 San Leonel los altos, ZAC 02130;2026-02-19 14:22:59.121 -0500;
"5f9f3a66-4261-45cb-9047-88d9a56cfd96";"148b9089-8814-4505-ae2a-008c2e1fecc6";"20262059W";21;"918493790";Privada Mauritania 819 Interior 316 San Uriel de la Montaña, MOR 35149-7967;2026-02-19 14:22:59.121 -0500;
e9c742da-45e6-4f9d-8290-260a1df5cb0e;e9884be6-107b-4b58-893c-415e37956315;"20243675O";22;"967444129";Viaducto Sur Almaraz 414 Interior 940 San Óscar los bajos, DGO 63260;2026-02-19 14:22:59.121 -0500;
"3063eafe-3cf0-41d3-952c-5d546968258b";e76f3920-7a67-46de-8e15-0fd4cdfbee83;"20223952X";22;"994422524";Eje vial Tabasco 735 Interior 994 San Socorro los altos, HGO 89085;2026-02-19 14:22:59.121 -0500;
"44b1e147-95b6-4811-a0eb-e1bbb2ec0566";"0f57f266-c571-4244-a39f-bc41eaff42a3";"20226004Y";20;"982801334";Retorno Norte Hinojosa 729 948 San Gloria los altos, CHIS 87454;2026-02-19 14:22:59.121 -0500;
"11e54c75-d44f-4d00-b049-48f5361a7e27";e5497581-9532-4904-90cb-34fc24855f62;"20263243N";21;"913956514";Eje vial Alba 459 547 San Antonio de la Montaña, TAB 44678;2026-02-19 14:22:59.121 -0500;
"3fbcac7c-eb56-4aec-9e1b-77bb418677a1";"908c342f-ab78-41d0-b811-e20026bf0fa4";"20222108T";20;"942616059";Peatonal Sur Pérez 882 999 San Gustavo los altos, YUC 80766;2026-02-19 14:22:59.121 -0500;
a073b3de-a303-414f-814d-aeb8a1db7aff;"2a8d942d-8d97-4ae4-8540-092ad8800635";"20211774W";22;"939040032";Periférico Zimbabwe 372 606 San Lorenzo los altos, SON 42957;2026-02-19 14:22:59.121 -0500;
f51753e8-54c8-43cd-8b2c-ba4e37ea7fe4;b443c539-442e-4dee-933b-04dc9e7b11c5;"20214069A";14;"968581003";Peatonal Almaraz 244 Edif. 569 , Depto. 188 San Aurelio los altos, TAB 85148;2026-02-19 14:22:59.121 -0500;
"2ad4a3dc-d830-4c53-91d0-638f385124b2";"09aec473-0f42-4e3e-b63c-673d3b61a656";"20246223E";21;"951629329";Eje vial Durango 049 Edif. 850 , Depto. 076 Vieja Perú, MEX 13700;2026-02-19 14:22:59.121 -0500;
ef63bccd-4842-499d-8066-832ee1fb7a54;"4c5358cb-5398-4b7d-b44f-5c2014ef1cbd";"20241174C";22;"992736884";Andador Costa Rica 495 278 Nueva Noruega, SIN 22489;2026-02-19 14:22:59.121 -0500;
"7e4e44be-6528-46b4-a022-f0c90a9865b7";"21ba6879-e43a-4c40-a01d-33f9efce1d87";"20252669X";22;"972090665";Corredor Querétaro 735 Interior 555 Vieja Micronesia, OAX 08198;2026-02-19 14:22:59.121 -0500;
"032f8b3c-020b-46c1-8235-2e67a888509a";"82e992de-e670-492b-931d-6f8a20e3779a";"20218868V";3;"916788837";Prolongación Nicaragua 612 Interior 328 San María Cristina de la Montaña, GTO 52584-9242;2026-02-19 14:22:59.121 -0500;
