"id";"nombres";"apellidos";"correo";"password";"habilitado";"provider";"provider_id";"created_at";"updated_at"
"843a94ca-b79a-486a-89be-f88728bff79f";Juan;Pérez;juan.perez@mail.com;$2a$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 09:01:07.918 -0500;
"13f8eb29-e1f3-422f-b8f7-0108d380deb6";María;García;maria.garcia@mail.com;$2a$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 09:01:07.918 -0500;
"96b26cf2-ef89-4d87-b84b-71808953c99a";Carlos;Rodríguez;carlos.rod@mail.com;$2a$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 09:01:07.918 -0500;
"7248622d-fb96-4f5a-857c-7833f32c0b5a";Ana;Martínez;ana.mtz@mail.com;$2a$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 09:01:07.918 -0500;
d58a1766-c7a2-4bc5-8f1e-12d7cff4b7dd;Luis;Sánchez;luis.san@mail.com;$2a$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 09:01:07.918 -0500;
"985c873f-8a73-4314-9ebd-68a7b5035c11";Elena;Gómez;elena.gomez@mail.com;$2a$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 09:01:07.918 -0500;
e6403133-0714-4e46-bc5a-21399c71a244;Ricardo;Díaz;ricardo.diaz@mail.com;$2a$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;false;LOCAL;;2026-02-19 09:01:07.918 -0500;
"4b84f726-18ec-46f9-aa27-f4e00eee54b4";Sofía;Torres;sofia.torres@mail.com;$2a$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 09:01:07.918 -0500;
"41d218c7-84fb-4ad4-b0f1-50e0beb8817f";Fernando;Castro;fer.castro@mail.com;$2a$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 09:01:07.918 -0500;
"36380d70-2e56-4a03-a611-c40e76547b8e";Lucía;Morales;lucia.mo@mail.com;$2a$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 09:01:07.918 -0500;
"450651a0-c206-4db0-ad7f-4e7a825b2eb8";Luis Enrique;Núñez Ramos;luis.enrique.nunez.ramos@gmail.com;;true;GOOGLE;"112888315126881733730";2026-02-19 10:02:15.317 -0500;
e6ae473f-dc46-4b6d-a4de-71010a137571;Nicol;Morillo;nicol.morillo@uni.pe;$2a$10$YZ019RmKAUPpibb8fXUXU.4IzPsPbWb8lSPSk5D8mCIe7ATARiVHm;true;LOCAL;;2026-02-19 11:26:56.158 -0500;
"65d55f20-871d-4261-86bd-6ff237673916";Juan;Velarde;juan.velarde@example.com;$2a$10$TtfaxMq4IfhlXUSQlSCEdeyv/1lvK78d/zkjpxRqAcTqrvVlb.SpG;true;LOCAL;;2026-02-19 11:56:57.772 -0500;2026-02-19 12:17:33.601 -0500
"948395ca-3a96-45f0-992a-34fbeaf7337a";Salma;Zedillo;concepcioncalvillo@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"2e0d020d-7967-4b2b-b2e3-cc0634a8401a";Lucas;Collado;josholguin@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"4353fc04-dd55-4ff6-b62a-6c4ecb41c91d";Rebeca;Espinal;verdugodaniela@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
c1507f1b-f7f6-46b2-83f5-9e568c23fa89;Cristobal;Regalado;aperales@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
d13e5b3a-11ec-439f-8d25-f021b28cfc96;Karla;Rodarte;jorge-luisleyva@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
c8bcb564-aa1b-4232-ac53-0eb036cfc14a;Norma;Rodríguez;gespino@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"59ff7748-57ea-4596-a986-08515e99c100";Omar;Galarza;nadiaarteaga@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
ba746773-d6e5-4d96-9f0b-1acaac92bdee;Lilia;Cruz;tpulido@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
e6583bac-ace6-4f93-9ac8-41aa6901d290;Débora;Barrera;evelio11@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
f23d2c5f-e43a-4703-bc05-da5773e3dd91;Jacobo;Alcaraz;lucas43@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"330d0221-528b-4483-8e02-1cfad96efe0b";Teodoro;Valadez;porrasnatividad@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
ad70fb04-fd27-43a4-a4b7-c51cdbd98579;Cristian;Menéndez;jorge-luisrocha@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
d2127126-62c9-4739-a5a2-5d426a8bec1b;Virginia;Montes;dvelasquez@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
f1220a6a-97e3-4310-a5d4-0086e4273f8e;Berta;Soliz;bmontoya@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"23d3d3e6-f9ac-4e12-9adb-de33192239af";Natalia;Aparicio;cristobal09@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"148b9089-8814-4505-ae2a-008c2e1fecc6";Nayeli;Linares;vargasjose-emilio@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
e9884be6-107b-4b58-893c-415e37956315;Gabriel;Garrido;anayaperla@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
e76f3920-7a67-46de-8e15-0fd4cdfbee83;Ilse;Montero;zeferino85@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"0f57f266-c571-4244-a39f-bc41eaff42a3";Marcos;Oquendo;mezafabiola@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
e5497581-9532-4904-90cb-34fc24855f62;Anabel;Arteaga;claudio62@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"908c342f-ab78-41d0-b811-e20026bf0fa4";Marisela;Ramos;alfonsoharo@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"2a8d942d-8d97-4ae4-8540-092ad8800635";Leticia;Rojo;josefina49@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
b443c539-442e-4dee-933b-04dc9e7b11c5;Rebeca;Roybal;rosavela@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"09aec473-0f42-4e3e-b63c-673d3b61a656";Gustavo;Cardona;paolacantu@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"4c5358cb-5398-4b7d-b44f-5c2014ef1cbd";Aida;Collazo;renedel-valle@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"21ba6879-e43a-4c40-a01d-33f9efce1d87";Aldonza;Colón;felix70@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
"82e992de-e670-492b-931d-6f8a20e3779a";Zeferino;Loya;socorrorosado@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
bab5167f-88b1-4356-aa15-9afa22b86c26;Miguel;Ramírez;de-andaoscar@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
fbf3f0ff-a5ff-4d2a-adf2-d6f479996f8c;Roberto;Jaime;debora74@uni.pe;$12$8.V9TrkvclM9vWZ1kVm8HeIzJP6vS4ASeJzYpB29G/pY1XNq8K4a2;true;LOCAL;;2026-02-19 14:21:11.190 -0500;
